"","purpose","month","Akershus","Aust-Agder","Buskerud","Finnmark - Finnmárku","Hedmark","Hordaland","Møre og Romsdal","Nordland","Oppland","Oslo","Rogaland","Sogn og Fjordane","Svalbard","Telemark","Troms - Romsa","Vest-Agder","Vestfold","Østfold","Trondelag","Norge"
"1","Ferie, fritid",1986-01-01,7620,17232,60900,2949,24202,18807,4679,4696,61704,38788,3176,3177,0,32560,2931,4301,3100,1593,19442,311857
"2","Ferie, fritid",1986-02-01,7265,24226,108158,2466,33966,24590,3419,6847,128551,38399,2976,7918,0,51785,3755,8784,3274,2321,26908,485608
"3","Ferie, fritid",1986-03-01,11071,19360,134421,3152,37470,36815,7162,10736,171405,41162,6467,12251,0,52648,4954,9540,4028,2687,36292,601621
"4","Ferie, fritid",1986-04-01,10717,15462,79495,1378,15117,23081,3836,4314,73218,31112,3895,5227,0,24938,2079,2392,4372,1581,16102,318316
"5","Ferie, fritid",1986-05-01,13087,6378,23954,2423,10413,48596,8683,11061,32155,53485,4859,23052,0,19515,4394,4727,5221,3434,18499,293936
"6","Ferie, fritid",1986-06-01,23062,11866,52889,24278,25139,91672,28804,34302,117877,77922,6151,58964,0,32826,12745,18947,12199,7843,44295,681781
"7","Ferie, fritid",1986-07-01,35383,42649,128093,44630,57308,139176,45157,61563,252928,106947,27026,96489,0,80627,28100,59477,32190,21294,84495,1343532
"8","Ferie, fritid",1986-08-01,29496,18698,93757,18623,42649,116206,32152,29885,199125,102059,12283,72330,0,55713,11148,18857,13308,8353,48322,922964
"9","Ferie, fritid",1986-09-01,14162,9303,43112,4558,24291,47771,9753,11557,95629,53304,4924,20804,0,28472,3486,6235,3942,2997,17775,402075
"10","Ferie, fritid",1986-10-01,11760,3065,26004,2002,13244,19976,5408,4858,35312,51220,4120,8897,0,18233,2729,3016,4061,2187,15069,231161
"11","Ferie, fritid",1986-11-01,10551,3114,27415,1712,14730,20680,7974,6263,36614,44385,4455,9094,0,19375,2813,4404,3590,2554,17886,237609
"12","Ferie, fritid",1986-12-01,7626,11153,62236,1877,18076,20967,6536,6576,52932,33869,2835,6425,0,26102,2478,4652,4099,3256,13223,284918
"13","Ferie, fritid",1987-01-01,8870,21017,76205,1283,22371,17077,3435,5770,72606,23405,2805,3707,0,36687,2982,5504,3099,1369,18417,326609
"14","Ferie, fritid",1987-02-01,12290,20800,112034,1803,36704,20097,3059,5802,117719,25978,3515,3962,0,51182,3579,7288,3453,2112,20131,451508
"15","Ferie, fritid",1987-03-01,11654,24571,140814,2759,43287,30479,8024,7389,136668,30316,4564,6985,0,52312,5604,8525,4164,2912,21589,542616
"16","Ferie, fritid",1987-04-01,8025,18543,132382,3421,33360,38687,7009,7450,126161,25771,3820,11408,0,41646,4513,7069,3204,2105,28455,503029
"17","Ferie, fritid",1987-05-01,15623,5460,33228,4245,10315,54404,8658,7542,29965,45886,6529,18397,0,15214,3437,5714,3647,3747,22112,294123
"18","Ferie, fritid",1987-06-01,31360,17165,67136,27150,29959,101057,29665,31637,115913,67086,10586,64737,0,30927,15702,14681,13755,9612,37679,715807
"19","Ferie, fritid",1987-07-01,42428,44403,139114,41187,63821,158730,45837,57720,253910,100363,28481,101504,0,74346,25794,50381,33156,18740,78450,1358365
"20","Ferie, fritid",1987-08-01,35380,20170,100193,18499,40955,123209,32102,28350,173369,86286,18914,74115,0,50337,11967,18775,12476,9118,49053,903268
"21","Ferie, fritid",1987-09-01,8251,9674,51547,5140,25382,45874,9942,7167,86039,43995,8589,20909,0,30520,4197,6708,2974,4223,22155,393286
"22","Ferie, fritid",1987-10-01,13916,6028,30245,3054,13500,30820,6687,5192,35154,39216,7203,10994,0,17642,3732,6192,3688,2427,20306,255996
"23","Ferie, fritid",1987-11-01,10576,3595,31360,2631,12738,22802,6335,5326,35632,30999,6819,9056,0,16906,3984,6968,3276,4169,21437,234609
"24","Ferie, fritid",1987-12-01,7596,9679,69704,2560,19208,22188,6446,6147,55084,16625,6137,7965,0,24399,3387,6068,4642,2804,13421,284060
